,Keyword,Term_frequency,TFIDF_score,Log_TFIDF_score
0,0-RTT,0.0,0.0,0.0
1,AES,336.0,4211.864711838037,8.34589814939079
2,ASLR,8.0,100.27765683200695,4.61786582258328
3,access control,804.0,10079.067067796528,9.218315195154467
4,Air-Gapped,0.0,0.0,0.0
5,Antivirus,33.0,413.64782881247527,6.027429554690269
6,Bell-LaPadula,8.0,100.27768562820009,4.61786610691242
7,Biba,18.0,225.62505182685638,5.423296897764923
8,Blacklist,90.0,1128.135301083726,7.029207398496013
9,Botnet,126.0,1579.3880610635877,7.365425704132333
10,CBC,107.0,1341.242157416374,7.20209674642204
11,CFB,27.0,338.4385495785708,5.827292927901706
12,Conficker,2.0,25.069399809827427,3.2607622054259804
13,DDoS,182.0,2281.360580312637,7.732965528593744
14,DES,3396.0,42584.6318757627,10.659272195454125
15,DMZ,4.0,50.138799619654854,3.934543497152182
16,DNS,136.0,1704.7573658045992,7.441764493906699
17,DNSSEC,15.0,188.02066055287514,5.241856324179761
18,ECB,15.0,188.02082253029553,5.241857181109106
19,HTTPS,47.0,589.1347864904948,6.380350962487459
20,Hacker,271.0,3397.0860275924165,8.130967619036895
21,Hacktivism,6.0,75.20822102678261,4.333469344363749
22,Hacktivist,4.0,50.138799619654854,3.934543497152182
23,Honeypot,81.0,1015.3188556808542,6.9239424132342835
24,IDA,130.0,1629.5371897695954,7.396664803782256
25,IDS,705.0,8837.960039348984,9.086924506103674
26,IPS,208.0,2607.2954312579977,7.866452195487573
27,IPSec,26.0,325.9031333956121,5.7896638988650535
28,IRC,32.0,401.11247023463756,5.996731826191896
29,Intrusion,1320.0,16548.32446753292,9.714100562300418
30,Kerberos,26.0,325.9032269805449,5.789664185142271
31,Keylogger,2.0,25.069399809827427,3.2607622054259804
32,MD5,55.0,689.4170070627049,6.53729577310241
33,NFV,260.0,3259.1782210652977,8.089537141904891
34,Network,52994.0,667981.7111415897,13.412017570659284
35,OFB,3.0,37.604110513391305,3.65335876078536
36,ORAM,3.0,37.604110513391305,3.65335876078536
37,PKI,27.0,338.4382580307578,5.8272920689894265
38,PRO,524.0,6568.964925671007,8.79026377290596
39,Phishing,234.0,2933.1837835087094,7.984184595973861
40,RC4,33.0,413.6468785945368,6.027427263061178
41,RSA,269.0,3371.9668961809552,8.1235480206586
42,Risk,27768.0,349188.5988414834,12.763370316826672
43,SHA-1,15.0,188.02109248877588,5.241858609302487
44,SSH,218.0,2732.6383289075034,7.913388722105879
45,SSL,97.0,1215.8833470549982,7.10404823552153
46,SYN,63.0,789.6990186912162,6.67291738801277
47,Security,17392.0,218431.22611150693,12.294231067423269
48,TCAM,8.0,100.27765683200695,4.61786582258328
49,TLS,134.0,1679.6801712697093,7.4269538543130675
50,TPM,67.0,839.8335751970958,6.734393751207299
51,Tamarin,82.0,1027.8515904050169,6.936198498420689
52,Threat,5035.0,63176.71839592193,11.053706960945558
53,Tor,146.0,1830.1192555318191,7.512682673919923
54,Trojan,99.0,1240.9520379064047,7.124439644925235
55,Two-factor,336.0,4211.86833795253,8.345899010114591
56,Zero-Day,1332.0,16700.74349044707,9.723268393581053
57,adversarial,216.0,2707.584573944576,7.904181479991502
58,adversary,128.0,1604.4839691896052,7.38118052854643
59,alert,889.0,11145.084122680959,9.31884351544363
60,angr,765.0,9590.080103675711,9.168588789655926
61,anonymity,211.0,2644.9287431762455,7.880777414295745
62,anti-virtualization,0.0,0.0,0.0
63,attack,6815.0,85499.19229163147,11.356273903947251
64,authenticated,193.0,2419.305426679798,7.7916490205588165
65,authentication,2118.0,26555.998217023553,10.187048578265882
66,authenticity,393.0,4926.532958358806,8.502593727661798
67,authorization,626.0,7847.305479098418,8.96805292493955
68,bcrypt,6.0,75.20826422115007,4.333469911157655
69,binary analysis,62.0,777.158088918336,6.656929702660071
70,binary-level,1.0,12.5346963053507,2.6052564850864743
71,bitcoin,286.0,3585.0641468976546,8.184810542152787
72,black-box,259.0,3246.646647088465,8.085685904442368
73,block ebcryption,0.0,0.0,0.0
74,blockchain,1101.0,13802.102685706592,9.532648678171881
75,bug,7250.0,91020.0604623724,11.418846192374795
76,byzantine,285.0,3572.5320336711907,8.181309750848536
77,certdomain,0.0,0.0,0.0
78,certificate,716.0,8975.988531889321,9.102419752256631
79,challenge,14655.0,184242.55332967915,12.124013820726733
80,covert channel,32.0,401.1114336127292,5.996729248248357
81,cipher,855.0,10718.472335162565,9.279817210947149
82,ciphertext,102.0,1278.5588476478824,7.154270647233015
83,clickjacking,2.0,25.0693926107014,3.260761929273592
84,binary code,46.0,576.6008316212258,6.358883027365021
85,code-reuse,6.0,75.20828581821719,4.333470194552957
86,hash collision,7.0,87.74297492467508,4.485744269444233
87,confidentiality,489.0,6130.110298671479,8.721131137924054
88,control-flow,16.0,200.55565921522205,5.306065567636965
89,mwmory corruption,0.0,0.0,0.0
90,cryptanalysis,78.0,977.7197874414092,6.886245378314046
91,crypto-ransomware,3.0,37.6040889160521,3.65335820132822
92,cryptocurrency,135.0,1692.2150979209766,7.434384425404189
93,cryptographic,538.0,6744.359457440795,8.81661005965193
94,cryptography,985.0,12348.535531518031,9.42137373256493
95,cybercrime,154.0,1930.3809211031985,7.565990529210857
96,cybersecurity,308.0,3860.8460687925567,8.258900604294723
97,data-flow,249.0,3121.3033476167952,8.04632626087052
98,decryption,313.0,3923.5840696968908,8.275015655097368
99,defense,1247.0,15634.1193008853,9.65727490023605
100,denial of service,184.0,2306.458285163745,7.743901888278061
101,deobfuscation,1.0,12.5346963053507,2.6052564850864743
102,diffie-hellman,30.0,376.043588716176,5.932360800701347
103,digital certificate,16.0,200.55554403231523,5.3060649961673265
104,disassembly,80.0,1002.7880859889135,6.9115362082411655
105,drive-by download,2.0,25.069399809827427,3.2607622054259804
106,dynamic analysis,516.0,6468.521429994877,8.774857417215918
107,eavesdropping,79.0,990.2555094571635,6.8989723310240665
108,encryption,2005.0,25137.737948910293,10.132165279965685
109,error-handling,30.0,376.04369669334966,5.932361087079797
110,ethereum,74.0,927.5803111623625,6.833656872649822
111,key exchange,86.0,1077.9984304894465,6.983788510659715
112,firewall,336.0,4211.830866215475,8.345890115484924
